source_id,source_kind,authority,title,publication_or_version,scope,filename,pages_or_rows,bytes,sha256,location_or_url,distribution,extraction_status,usage_status,review_status,notes
MT_CATEGORY9_2019,PDF,SWIFT,Category 9 — Cash Management and Customer Status,MT November 2019,MT920,us9m_20190719.pdf,145,957680,693e380f95ce0845e9b58f8b62869e1ab9e7253675f81ea6acac086bc8cde4b6,sources/official/,USER_CONFIRMED_REDISTRIBUTION,EXTRACTED,HISTORICAL,REGISTERED,Source PDF is included; extracted full text remains private.
XML_TAGS_REFERENCE,PDF,Supporting reference,XML Tags reference workbook export,2023-01,ISO20022,XML_Tags.pdf,59,240554,fd3fc159850d5ea9de7996525e0b63188908a1630a50eee1db7f032105fbeac6,sources/official/,USER_CONFIRMED_REDISTRIBUTION,EXTRACTED,SUPPORTING,REGISTERED,Source PDF is included; extracted full text remains private.
ISO20022_ADOPTION_WEBINAR,PDF,SWIFT,Upgrade your infrastructure — Make the leap to ISO 20022,October 2025,ISO20022,iso20022-adoption-1-month-to-go-oct-2025.final_.pdf,41,2221591,a83e9f9f04eac77ec039c8b66c54e2b45bd3c3d7ef5d605c0c31a783fc36e12d,sources/official/,USER_CONFIRMED_REDISTRIBUTION,EXTRACTED,SUPPORTING,REGISTERED,Source PDF is included; extracted full text remains private.
XSD_pacs_008_001_08,XSD_STRUCTURAL_CORROBORATION,ISO 20022 schema copy in public GitHub catalogue,pacs.008.001.08 XML Schema,pacs.008.001.08,pacs.008.001.08,pacs.008.001.08.xsd,,58040,cf048155f70cacd03f1f1dfadf66cba8752be93c249c267351782fd6adb023f7,https://github.com/EggBaconAndSpam/iso20022-schemas/tree/4fa50758235d2561795117aea669854f89da0489,NOT_INCLUDED; STRUCTURE CROSS-CHECKED TO OFFICIAL PDF MESSAGE ID,PARSED_PRIVATE,STRUCTURAL,CORROBORATING_NOT_PRIMARY,Exact paths/cardinalities are generated locally; official Message Definition Report remains primary evidence.
XSD_pacs_009_001_08,XSD_STRUCTURAL_CORROBORATION,ISO 20022 schema copy in public GitHub catalogue,pacs.009.001.08 XML Schema,pacs.009.001.08,pacs.009.001.08,pacs.009.001.08.xsd,,57089,2f695939eb9be156bf2f14a26fbeb0f3bead73037fb03fd219ad14ceb19905ec,https://github.com/EggBaconAndSpam/iso20022-schemas/tree/4fa50758235d2561795117aea669854f89da0489,NOT_INCLUDED; STRUCTURE CROSS-CHECKED TO OFFICIAL PDF MESSAGE ID,PARSED_PRIVATE,STRUCTURAL,CORROBORATING_NOT_PRIMARY,Exact paths/cardinalities are generated locally; official Message Definition Report remains primary evidence.
XSD_camt_054_001_08,XSD_STRUCTURAL_CORROBORATION,ISO 20022 schema copy in public GitHub catalogue,camt.054.001.08 XML Schema,camt.054.001.08,camt.054.001.08,camt.054.001.08.xsd,,103313,13d220337d47e22cf25788807c136794a76955791df612c6947277272d440da6,https://github.com/EggBaconAndSpam/iso20022-schemas/tree/4fa50758235d2561795117aea669854f89da0489,NOT_INCLUDED; STRUCTURE CROSS-CHECKED TO OFFICIAL PDF MESSAGE ID,PARSED_PRIVATE,STRUCTURAL,CORROBORATING_NOT_PRIMARY,Exact paths/cardinalities are generated locally; official Message Definition Report remains primary evidence.
XSD_camt_060_001_05,XSD_STRUCTURAL_CORROBORATION,ISO 20022 schema copy in public GitHub catalogue,camt.060.001.05 XML Schema,camt.060.001.05,camt.060.001.05,camt.060.001.05.xsd,,26675,eaeacff34dc08ddd1534a4ba44425d40fbcf87588ac9c2d7bccfb810913f4940,https://github.com/EggBaconAndSpam/iso20022-schemas/tree/4fa50758235d2561795117aea669854f89da0489,NOT_INCLUDED; STRUCTURE CROSS-CHECKED TO OFFICIAL PDF MESSAGE ID,PARSED_PRIVATE,STRUCTURAL,CORROBORATING_NOT_PRIMARY,Exact paths/cardinalities are generated locally; official Message Definition Report remains primary evidence.
CBPR_USAGE_GUIDELINES,RESTRICTED_MYSTANDARDS_EXPORT,SWIFT,Applicable CBPR+ Usage Guidelines,TBD,pacs.008/pacs.009/camt.054/camt.060,,,,,SWIFT MyStandards (licensed access),NOT_AVAILABLE,NOT_RETRIEVED,REQUIRED_FOR_APPROVAL,BLOCKING,"Needed to validate network-specific cardinality, code, and coexistence conditions."
SWIFT_TRANSLATION_LIBRARY,RESTRICTED_TRANSLATION_RULES,SWIFT,SWIFT MT/MX Translation Library,TBD,MT103/202/202COV/910/920,,,,,SWIFT licensed tooling/content,NOT_AVAILABLE,NOT_RETRIEVED,REQUIRED_FOR_APPROVAL,BLOCKING,Needed to promote candidate rules to implementation-approved translations.
DFR_ALL_SOURCE_TO_TABLES,INTERNAL_DERIVED_MAPPING,DFR project,ALL_SOURCE_TO_TABLES MX-to-DFR mapping,current local build,24 ISO 20022 message families,ALL_SOURCE_TO_TABLES.csv,38912,7584930,2526bb2e52f684de5a656937ad8de0232fe5091258a0bbee9850070abd6b0469,private/local DFR build,HASH_AND_DERIVED_LINEAGE_ONLY,JOINED,PRIMARY_DFR,REGISTERED,Full upstream mapping is not copied into this repository.
